Order,timestamp,latitudeE7,longitudeE7
0,2023-09-21T18:49:43.682Z,372333442,-804215605
1,2023-09-21T18:50:03.546Z,372333488,-804215562
2,2023-09-21T18:50:23.616Z,372333496,-804215538
3,2023-09-21T18:50:53.621Z,372333459,-804215559
4,2023-09-21T18:51:08.704Z,372333397,-804215682
5,2023-09-21T18:51:23.831Z,372333462,-804215698
6,2023-09-21T18:51:53.731Z,372333507,-804215602
7,2023-09-21T18:52:08.886Z,372333525,-804215605
8,2023-09-21T18:52:23.937Z,372333539,-804215633
9,2023-09-21T18:52:53.939Z,372333563,-804215607
10,2023-09-21T18:53:08.990Z,372333387,-804215636
11,2023-09-21T18:53:24.076Z,372333379,-804215699
12,2023-09-21T18:53:39.099Z,372333485,-804215666
13,2023-09-21T18:54:09.104Z,372333503,-804215599
14,2023-09-21T18:54:24.155Z,372333529,-804215600
15,2023-09-21T18:54:54.190Z,372333456,-804215656
16,2023-09-21T18:55:09.242Z,372333519,-804215488
17,2023-09-21T18:55:29.284Z,372333469,-804215717
18,2023-09-21T18:55:44.438Z,372333536,-804215645
19,2023-09-21T18:56:14.470Z,372333506,-804215682
20,2023-09-21T18:56:29.493Z,372333515,-804215574
21,2023-09-21T18:56:44.545Z,372333635,-804215584
22,2023-09-21T18:56:59.601Z,372333562,-804215622
23,2023-09-21T18:57:14.682Z,372333378,-804215666
24,2023-09-21T18:57:29.736Z,372333312,-804215612
25,2023-09-21T18:57:59.709Z,372333346,-804215585
26,2023-09-21T18:58:14.792Z,372333427,-804215601
27,2023-09-21T18:58:29.815Z,372333372,-804215737
28,2023-09-21T18:58:44.867Z,372333431,-804215724
29,2023-09-21T18:59:14.973Z,372333506,-804215612
30,2023-09-21T18:59:43.587Z,372333245,-804215592
31,2023-09-21T18:59:59.556Z,372333428,-804215598
32,2023-09-21T19:00:26.799Z,372334115,-804215788
33,2023-09-21T19:00:44.700Z,372334846,-804216379
34,2023-09-21T19:01:18.369Z,372334830,-804216836
35,2023-09-21T19:01:38.334Z,372334627,-804216823
36,2023-09-21T19:01:58.302Z,372334652,-804216932
37,2023-09-21T19:02:18.269Z,372334649,-804216855
38,2023-09-21T19:02:38.374Z,372334812,-804216863
39,2023-09-21T19:02:58.445Z,372334637,-804216856
40,2023-09-21T19:03:18.514Z,372334723,-804216877
41,2023-09-21T19:03:38.381Z,372334742,-804216887
