timestamp,latitudeE7,longitudeE7
2023-09-21T20:51:15.298Z,372304481,-804206685
2023-09-21T20:51:42.971Z,372306776,-804204696
2023-09-21T20:52:10.453Z,372308945,-804203544
2023-09-21T20:52:38.480Z,372311642,-804203549
2023-09-21T20:53:05.721Z,372314527,-804204041
2023-09-21T20:53:32.971Z,372317235,-804203954
2023-09-21T20:54:01.062Z,372318876,-804201792
2023-09-21T20:54:16.092Z,372320731,-804203052
2023-09-21T20:54:44.154Z,372323938,-804202296
2023-09-21T20:55:12.274Z,372326744,-804203414
2023-09-21T20:55:40.279Z,372327425,-804207048
2023-09-21T20:56:08.929Z,372327962,-804211160
2023-09-21T20:56:36.286Z,372329369,-804213871
2023-09-21T20:57:04.702Z,372331613,-804215111
2023-09-21T20:57:32.295Z,372335172,-804214378
2023-09-21T20:57:59.810Z,372335785,-804216349
2023-09-21T20:58:18.675Z,372335711,-804215839
2023-09-21T20:58:49.281Z,372334577,-804216864
2023-09-21T20:59:16.836Z,372334262,-804216427
2023-09-21T20:59:39.282Z,372333367,-804215360
2023-09-21T20:59:59.243Z,372333555,-804215580
2023-09-21T21:00:19.389Z,372333056,-804215623
2023-09-21T21:00:35.160Z,372333188,-804215572
2023-09-21T21:01:08.234Z,372333018,-804215607
2023-09-21T21:01:28.204Z,372333070,-804215575
2023-09-21T21:01:48.172Z,372333027,-804215617
2023-09-21T21:02:08.242Z,372333072,-804215604
2023-09-21T21:02:28.313Z,372333094,-804215647
2023-09-21T21:02:51.148Z,372333041,-804215614
2023-09-21T21:03:11.117Z,372333076,-804215628
2023-09-21T21:03:32.209Z,372333106,-804215671
2023-09-21T21:03:52.179Z,372333064,-804215637
2023-09-21T21:04:08.219Z,372333060,-804215618
2023-09-21T21:04:25.150Z,372333087,-804215633
2023-09-21T21:04:45.119Z,372333069,-804215643
2023-09-21T21:05:05.190Z,372333065,-804215637
2023-09-21T21:05:21.065Z,372332998,-804215611
2023-09-21T21:05:36.115Z,372333040,-804215602
2023-09-21T21:05:59.052Z,372333191,-804215580
2023-09-21T21:06:35.200Z,372333091,-804215630
2023-09-21T21:06:55.168Z,372332968,-804215581
2023-09-21T21:07:16.160Z,372333096,-804215635
2023-09-21T21:07:39.200Z,372333063,-804215559
2023-09-21T21:07:59.274Z,372333139,-804215626
2023-09-21T21:08:19.135Z,372333091,-804215548
2023-09-21T21:08:39.206Z,372333108,-804215524
2023-09-21T21:08:59.176Z,372333051,-804215784
2023-09-21T21:09:19.244Z,372332992,-804215613
2023-09-21T21:09:39.384Z,372332982,-804215828
2023-09-21T21:09:59.284Z,372333015,-804215591
2023-09-21T21:10:19.352Z,372333104,-804215586
2023-09-21T21:10:39.323Z,372333099,-804215611
2023-09-21T21:10:59.393Z,372333059,-804215754
2023-09-21T21:11:19.362Z,372333123,-804215608
2023-09-21T21:11:39.432Z,372333073,-804215663
2023-09-21T21:11:59.467Z,372333181,-804215564
2023-09-21T21:12:19.468Z,372333408,-804215450
2023-09-21T21:12:39.748Z,372333027,-804215662
2023-09-21T21:12:59.407Z,372333227,-804215586
2023-09-21T21:13:19.478Z,372333233,-804215621
2023-09-21T21:13:39.547Z,372333142,-804215526
2023-09-21T21:13:59.631Z,372333055,-804215636
2023-09-21T21:14:19.586Z,372333121,-804215520
2023-09-21T21:14:39.658Z,372333166,-804215578
2023-09-21T21:14:59.624Z,372333131,-804215569
2023-09-21T21:15:19.796Z,372333157,-804215598
2023-09-21T21:15:39.667Z,372333164,-804215500
2023-09-21T21:15:59.734Z,372333130,-804215586
2023-09-21T21:16:19.804Z,372333163,-804215545
2023-09-21T21:16:39.668Z,372333100,-804215591
2023-09-21T21:16:59.744Z,372333165,-804215576
2023-09-21T21:17:19.708Z,372333089,-804215585
2023-09-21T21:17:39.778Z,372333084,-804215580
2023-09-21T21:17:59.849Z,372333106,-804215529
2023-09-21T21:18:19.815Z,372333133,-804215549
2023-09-21T21:18:39.892Z,372333151,-804215543
2023-09-21T21:18:59.860Z,372333165,-804215531
2023-09-21T21:19:19.925Z,372333073,-804215552
2023-09-21T21:19:39.893Z,372333275,-804215552
2023-09-21T21:19:59.863Z,372333434,-804215589
2023-09-21T21:20:19.932Z,372333277,-804215515
2023-09-21T21:20:39.900Z,372333236,-804215555
2023-09-21T21:21:00.035Z,372333294,-804215574
2023-09-21T21:21:20.039Z,372333286,-804215583
2023-09-21T21:21:40.010Z,372333299,-804215597
2023-09-21T21:22:00.078Z,372333038,-804215625
2023-09-21T21:22:20.151Z,372333229,-804215520
2023-09-21T21:22:40.118Z,372333211,-804215594
2023-09-21T21:23:00.189Z,372333136,-804215590
2023-09-21T21:23:20.055Z,372333175,-804215581
2023-09-21T21:23:40.228Z,372333261,-804215570
2023-09-21T21:24:00.297Z,372333238,-804215578
2023-09-21T21:24:20.367Z,372333238,-804215539
2023-09-21T21:24:40.337Z,372333105,-804215612
2023-09-21T21:25:00.202Z,372333350,-804215520
2023-09-21T21:25:20.272Z,372333274,-804215544
2023-09-21T21:25:40.241Z,372333234,-804215600
2023-09-21T21:26:00.208Z,372333016,-804215733
2023-09-21T21:26:20.277Z,372333300,-804215566
2023-09-21T21:26:40.245Z,372333234,-804215589
2023-09-21T21:27:00.316Z,372333265,-804215581
2023-09-21T21:27:20.285Z,372333209,-804215577
2023-09-21T21:27:40.423Z,372333253,-804215586
2023-09-21T21:28:00.425Z,372333264,-804215576
2023-09-21T21:28:17.555Z,372333168,-804215550
2023-09-21T21:28:40.464Z,372333125,-804215580
2023-09-21T21:29:00.433Z,372333091,-804215571
2023-09-21T21:29:20.401Z,372333213,-804215494
2023-09-21T21:29:40.471Z,372333200,-804215562
2023-09-21T21:30:00.540Z,372333269,-804215590
2023-09-21T21:30:20.509Z,372333233,-804215578
2023-09-21T21:30:40.683Z,372333267,-804215569
2023-09-21T21:31:00.548Z,372333234,-804215600
2023-09-21T21:31:20.619Z,372333226,-804215550
2023-09-21T21:31:40.587Z,372333299,-804215569
2023-09-21T21:32:00.662Z,372333274,-804215534
2023-09-21T21:32:20.694Z,372333152,-804215549
2023-09-21T21:32:40.696Z,372333172,-804215574
2023-09-21T21:33:00.664Z,372333144,-804215518
2023-09-21T21:33:20.632Z,372333240,-804215556
2023-09-21T21:33:40.702Z,372333144,-804215567
2023-09-21T21:34:00.774Z,372333336,-804215530
2023-09-21T21:34:20.638Z,372333264,-804215554
2023-09-21T21:34:40.777Z,372333325,-804215609
2023-09-21T21:35:00.744Z,372333286,-804215591
2023-09-21T21:35:20.851Z,372333335,-804215541
2023-09-21T21:35:40.819Z,372333302,-804215505
2023-09-21T21:36:00.786Z,372333180,-804215489
2023-09-21T21:36:20.856Z,372333071,-804215575
2023-09-21T21:36:41.026Z,372333212,-804215561
2023-09-21T21:37:10.578Z,372333841,-804215048
2023-09-21T21:37:30.979Z,372334847,-804216960
2023-09-21T21:37:47.635Z,372334845,-804216658
2023-09-21T21:38:06.587Z,372334717,-804216925
2023-09-21T21:38:34.650Z,372334314,-804216781
2023-09-21T21:38:51.239Z,372334843,-804217035
2023-09-21T21:39:11.060Z,372335331,-804216901
2023-09-21T21:39:31.099Z,372336421,-804216313
2023-09-21T21:39:51.131Z,372336080,-804216343
2023-09-21T21:40:11.159Z,372337663,-804218037
2023-09-21T21:40:31.179Z,372340729,-804220463
2023-09-21T21:40:51.208Z,372340877,-804220484
2023-09-21T21:41:11.229Z,372345712,-804212046
2023-09-21T21:41:31.172Z,372350191,-804206702
2023-09-21T21:41:47.272Z,372345723,-804198128
2023-09-21T21:42:03.273Z,372351485,-804189313
2023-09-21T21:42:40.272Z,372334445,-804164946
2023-09-21T21:42:55.694Z,372326733,-804154325
2023-09-21T21:43:12.676Z,372316679,-804144142
2023-09-21T21:43:35.271Z,372327970,-804124867
2023-09-21T21:43:55.272Z,372338753,-804104836
2023-09-21T21:44:12.273Z,372340163,-804109223
2023-09-21T21:44:41.271Z,372341001,-804110555
2023-09-21T21:45:10.221Z,372342430,-804109727
2023-09-21T21:45:40.238Z,372342117,-804109258
